iter	Passed	Remaining
996	2136	4250
997	2138	4247
998	2141	4245
999	2143	4243
1000	2145	4241
1001	2147	4239
1002	2149	4237
1003	2151	4234
1004	2153	4232
1005	2155	4229
1006	2157	4227
1007	2160	4225
1008	2162	4223
1009	2163	4220
1010	2165	4218
1011	2168	4216
1012	2169	4213
1013	2172	4211
1014	2174	4209
1015	2176	4206
1016	2178	4204
1017	2180	4201
1018	2181	4198
1019	2183	4196
1020	2186	4194
1021	2188	4192
1022	2190	4190
1023	2192	4188
1024	2195	4186
1025	2197	4184
1026	2199	4182
1027	2201	4179
1028	2203	4177
1029	2205	4174
1030	2207	4172
1031	2209	4170
1032	2211	4168
1033	2213	4165
1034	2215	4163
1035	2217	4161
1036	2219	4159
1037	2221	4156
1038	2224	4155
1039	2226	4153
1040	2228	4150
1041	2230	4148
1042	2232	4145
1043	2234	4143
1044	2236	4141
1045	2238	4139
1046	2241	4137
1047	2243	4135
1048	2245	4133
1049	2247	4130
1050	2249	4128
1051	2251	4126
1052	2253	4124
1053	2255	4122
1054	2258	4120
1055	2260	4118
1056	2262	4116
1057	2264	4114
1058	2267	4112
1059	2269	4110
1060	2271	4108
1061	2273	4105
1062	2275	4103
1063	2277	4100
1064	2279	4098
1065	2281	4096
1066	2283	4093
1067	2285	4091
1068	2287	4088
1069	2289	4086
1070	2291	4084
1071	2293	4081
1072	2295	4079
1073	2297	4077
1074	2299	4075
1075	2301	4073
1076	2304	4071
1077	2306	4069
1078	2308	4067
1079	2310	4065
1080	2312	4063
1081	2314	4060
1082	2316	4058
1083	2319	4056
1084	2321	4054
1085	2323	4051
1086	2325	4049
1087	2327	4048
1088	2330	4046
1089	2332	4043
1090	2334	4041
1091	2336	4039
1092	2338	4037
1093	2340	4035
1094	2343	4033
1095	2345	4031
1096	2347	4029
1097	2349	4026
1098	2351	4025
1099	2353	4023
1100	2356	4021
1101	2358	4018
1102	2360	4016
1103	2362	4014
1104	2364	4012
1105	2366	4010
1106	2368	4007
1107	2370	4005
1108	2373	4003
1109	2375	4001
1110	2376	3998
1111	2379	3996
1112	2381	3994
1113	2383	3991
1114	2385	3989
1115	2387	3987
1116	2389	3985
1117	2391	3983
1118	2393	3980
1119	2395	3978
1120	2397	3976
1121	2399	3974
1122	2401	3971
1123	2404	3970
1124	2406	3967
1125	2408	3965
1126	2410	3964
1127	2413	3962
1128	2415	3960
1129	2417	3957
1130	2419	3956
1131	2422	3953
1132	2424	3951
1133	2426	3949
1134	2428	3947
1135	2430	3945
1136	2432	3942
1137	2434	3940
1138	2436	3938
1139	2438	3936
1140	2440	3934
1141	2443	3932
1142	2445	3930
1143	2447	3927
1144	2449	3926
1145	2451	3924
1146	2454	3921
1147	2456	3919
1148	2458	3917
1149	2460	3914
1150	2462	3912
1151	2464	3910
1152	2466	3907
1153	2468	3905
1154	2470	3903
1155	2472	3901
1156	2474	3899
1157	2476	3897
1158	2479	3894
1159	2481	3892
1160	2483	3890
1161	2485	3888
1162	2487	3885
1163	2489	3883
1164	2491	3881
1165	2493	3879
1166	2495	3877
1167	2497	3874
1168	2500	3873
1169	2502	3871
1170	2504	3868
1171	2506	3866
1172	2508	3864
1173	2510	3861
1174	2512	3859
1175	2514	3857
1176	2516	3855
1177	2518	3852
1178	2520	3850
1179	2522	3848
1180	2524	3846
1181	2527	3843
1182	2528	3841
1183	2531	3839
1184	2533	3837
1185	2535	3834
1186	2537	3832
1187	2539	3829
1188	2541	3827
1189	2543	3825
1190	2545	3823
1191	2547	3821
1192	2549	3819
1193	2551	3816
1194	2553	3814
1195	2555	3812
1196	2557	3810
1197	2560	3808
1198	2562	3806
1199	2564	3803
1200	2566	3801
1201	2568	3798
1202	2570	3796
1203	2572	3794
1204	2574	3792
1205	2576	3789
1206	2578	3787
1207	2580	3785
1208	2582	3783
1209	2584	3780
1210	2586	3778
1211	2588	3776
1212	2590	3773
1213	2592	3771
1214	2595	3769
1215	2596	3767
1216	2599	3765
1217	2601	3762
1218	2603	3760
1219	2605	3758
1220	2607	3756
1221	2609	3754
1222	2611	3752
1223	2614	3750
1224	2616	3747
1225	2618	3745
1226	2620	3743
1227	2622	3741
1228	2624	3739
1229	2626	3736
1230	2628	3734
1231	2630	3732
1232	2632	3730
1233	2635	3728
1234	2637	3726
1235	2639	3724
1236	2641	3722
1237	2643	3720
1238	2645	3717
1239	2648	3716
1240	2650	3713
1241	2652	3711
1242	2654	3709
1243	2656	3706
1244	2658	3704
1245	2660	3702
1246	2662	3700
1247	2664	3698
1248	2666	3696
1249	2668	3693
1250	2670	3691
1251	2672	3688
1252	2674	3686
1253	2677	3684
1254	2679	3682
1255	2681	3680
1256	2683	3677
1257	2685	3675
1258	2687	3673
1259	2689	3671
1260	2691	3669
1261	2693	3667
1262	2696	3665
1263	2698	3662
1264	2700	3660
1265	2702	3658
1266	2704	3656
1267	2706	3654
1268	2708	3652
1269	2711	3650
1270	2713	3648
1271	2715	3645
1272	2717	3644
1273	2719	3641
1274	2721	3639
1275	2723	3637
1276	2725	3635
1277	2728	3633
1278	2730	3631
1279	2732	3629
1280	2734	3626
1281	2736	3624
1282	2738	3622
1283	2740	3620
1284	2743	3618
1285	2745	3616
1286	2747	3614
1287	2749	3612
1288	2751	3609
1289	2753	3607
1290	2755	3605
1291	2757	3603
1292	2759	3600
1293	2761	3598
1294	2764	3596
1295	2766	3594
1296	2768	3591
1297	2770	3589
1298	2772	3587
1299	2774	3585
1300	2776	3583
1301	2778	3580
1302	2780	3578
1303	2783	3577
1304	2784	3574
1305	2787	3572
1306	2789	3570
1307	2791	3568
1308	2793	3565
1309	2795	3563
1310	2797	3561
1311	2799	3559
1312	2801	3557
1313	2804	3555
1314	2806	3553
1315	2808	3551
1316	2810	3549
1317	2812	3546
1318	2815	3545
1319	2817	3543
1320	2819	3540
1321	2821	3538
1322	2823	3536
1323	2826	3534
1324	2828	3532
1325	2830	3530
1326	2832	3528
1327	2834	3526
1328	2836	3524
1329	2838	3521
1330	2840	3519
1331	2843	3517
1332	2845	3515
1333	2847	3513
1334	2849	3511
1335	2851	3509
1336	2853	3506
1337	2855	3504
1338	2857	3502
1339	2860	3500
1340	2862	3498
1341	2864	3495
1342	2866	3493
1343	2868	3491
1344	2870	3489
1345	2872	3486
1346	2873	3484
1347	2876	3482
1348	2878	3479
1349	2880	3477
1350	2882	3475
1351	2884	3473
1352	2886	3470
1353	2888	3468
1354	2890	3465
1355	2892	3463
1356	2894	3461
1357	2896	3459
1358	2898	3457
1359	2900	3454
1360	2902	3452
1361	2904	3450
1362	2906	3448
1363	2908	3446
1364	2911	3444
1365	2913	3442
1366	2915	3439
1367	2917	3437
1368	2919	3435
1369	2921	3433
1370	2923	3430
1371	2925	3428
1372	2927	3426
1373	2929	3424
1374	2931	3421
1375	2933	3419
1376	2935	3417
1377	2937	3415
1378	2939	3413
1379	2942	3411
1380	2944	3408
1381	2946	3406
1382	2948	3404
1383	2950	3402
1384	2952	3400
1385	2954	3398
1386	2956	3396
1387	2959	3393
1388	2961	3391
1389	2963	3389
1390	2965	3387
1391	2967	3385
1392	2969	3382
1393	2971	3380
1394	2973	3378
1395	2975	3376
1396	2977	3373
1397	2979	3372
1398	2982	3369
1399	2984	3367
1400	2986	3365
1401	2988	3363
1402	2990	3361
1403	2992	3359
1404	2994	3356
1405	2996	3354
1406	2998	3352
1407	3000	3350
1408	3002	3348
1409	3005	3346
1410	3007	3343
1411	3008	3341
1412	3011	3339
1413	3013	3337
1414	3015	3335
1415	3017	3333
1416	3020	3331
1417	3022	3329
1418	3024	3326
1419	3026	3324
1420	3028	3322
1421	3030	3320
1422	3032	3318
1423	3034	3315
